"idx","posterior","model","variable"
0.96,0.083596214511041,"2","epsilon"
0.99,0.083596214511041,"2","epsilon"
0,0.0276162790697674,"3","epsilon"
0.03,0.0276162790697674,"3","epsilon"
0.06,0.0276162790697674,"3","epsilon"
0.09,0.0276162790697674,"3","epsilon"
0.12,0.0276162790697674,"3","epsilon"
0.15,0.0276162790697674,"3","epsilon"
0.18,0.0276162790697674,"3","epsilon"
0.21,0.0276162790697674,"3","epsilon"
0.24,0.0276162790697674,"3","epsilon"
0.27,0.0276162790697674,"3","epsilon"
0.3,0.0276162790697674,"3","epsilon"
0.33,0.0276162790697674,"3","epsilon"
0.36,0.0276162790697674,"3","epsilon"
0.39,0.0276162790697674,"3","epsilon"
0.42,0.0276162790697674,"3","epsilon"
0.45,0.0276162790697674,"3","epsilon"
0.48,0.0276162790697674,"3","epsilon"
0.51,0.0276162790697674,"3","epsilon"
0.54,0.0276162790697674,"3","epsilon"
0.57,0.0276162790697674,"3","epsilon"
0.6,0.0276162790697674,"3","epsilon"
0.63,0.0305232558139535,"3","epsilon"
0.66,0.0305232558139535,"3","epsilon"
0.69,0.0305232558139535,"3","epsilon"
0.72,0.0305232558139535,"3","epsilon"
0.75,0.0305232558139535,"3","epsilon"
0.78,0.0334302325581395,"3","epsilon"
0.81,0.0334302325581395,"3","epsilon"
0.84,0.0334302325581395,"3","epsilon"
0.87,0.0334302325581395,"3","epsilon"
0.9,0.0334302325581395,"3","epsilon"
0.93,0.0334302325581395,"3","epsilon"
0.96,0.0334302325581395,"3","epsilon"
0.99,0.0334302325581395,"3","epsilon"
